name,org,url,id,Label,citations,h_index,study_field
ivano notarnicola,Alma Mater Studiorum Università di Bologna,https://scholar.google.com/citations?hl=it&user=XtLzcR4AAAAJ,0,"ivano notarnicola - Alma Mater Studiorum Università di Bologna - ['Distributed Optimization', 'Control for Optimization', 'Systems and Control']",674,14,"['Distributed Optimization', 'Control for Optimization', 'Systems and Control']"
ilaria bartolini,University of Bologna,https://scholar.google.com/citations?hl=it&user=FErx39oAAAAJ,1,"ilaria bartolini - University of Bologna - ['databases', 'similarity search', 'content-based image retrieval', 'preferences', 'multimedia data management']",2161,22,"['databases', 'similarity search', 'content-based image retrieval', 'preferences', 'multimedia data management']"
luciano bononi,University of Bologna,https://scholar.google.com/citations?hl=it&user=oWTRkoAAAAAJ,2,"luciano bononi - University of Bologna - ['Wireless Networks', 'Modeling and Simulation', 'Internet of Things', 'Smart Energy and Mobility', 'Digital Twin']",5261,37,"['Wireless Networks', 'Modeling and Simulation', 'Internet of Things', 'Smart Energy and Mobility', 'Digital Twin']"
roberta calegari,Università di Bologna,https://scholar.google.com/citations?hl=it&user=l454uzwAAAAJ,3,"roberta calegari - Università di Bologna - ['logic programming', 'distributed systems', 'programming languages', 'multi-agent systems']",828,14,"['logic programming', 'distributed systems', 'programming languages', 'multi-agent systems']"
federico chesani,University of Bologna,https://scholar.google.com/citations?hl=it&user=f61bXgMAAAAJ,4,federico chesani - University of Bologna - ['Artificial Intelligence'],3040,29,['Artificial Intelligence']
marco di felice,University of Bologna,https://scholar.google.com/citations?hl=it&user=_p4SDXkAAAAJ,5,"marco di felice - University of Bologna - ['Wireless networks', 'Mobile Applications']",5408,37,"['Wireless networks', 'Mobile Applications']"
riccardo fini,University of Bologna,https://scholar.google.com/citations?hl=it&user=u0xvOjwAAAAJ,6,"riccardo fini - University of Bologna - ['Entrepreneurship', 'Innovation Management', 'Technology Transfer', 'Academic Entrepreneurship', 'Economics of Science']",6909,24,"['Entrepreneurship', 'Innovation Management', 'Technology Transfer', 'Academic Entrepreneurship', 'Economics of Science']"
mauro gaspari,University of Bologna,https://scholar.google.com/citations?hl=it&user=gWTGGwMAAAAJ,7,"mauro gaspari - University of Bologna - ['Artificial Intelligence', 'Expert Systems']",1357,18,"['Artificial Intelligence', 'Expert Systems']"
saverio giallorenzo,Università di Bologna,https://scholar.google.com/citations?hl=it&user=4CLysk8AAAAJ,8,"saverio giallorenzo - Università di Bologna - ['Programming Languages', 'Choreographic Programming', 'Microservices', 'Serverless', 'Security']",2297,17,"['Programming Languages', 'Choreographic Programming', 'Microservices', 'Serverless', 'Security']"
francesca lagioia,EUI,https://scholar.google.com/citations?hl=it&user=0u2tXsMAAAAJ,9,"francesca lagioia - EUI - ['Artificial Intelligence', 'Law', 'Ethics and Society']",795,14,"['Artificial Intelligence', 'Law', 'Ethics and Society']"
